BLN;TEAM BRIDGELANE;CTM;AUS;OCE
BGT;TEAM BRIDGESTONE CYCLING;CTM;JPN;ASI
TCQ;TEAM COLOQUICK;CTM;DEN;EUR
CPK;TEAM COLPACK;CTM;ITA;EUR
TCO;TEAM COOP;CTM;NOR;EUR
TDA;TEAM DAUNER | AKKON;CTM;GER;EUR
CCD;TEAM DIFFERDANGE GEBA;CTM;LUX;EUR
RSW;TEAM FELBERMAYR SIMPLON WELS;CTM;AUT;EUR
ILU;TEAM ILLUMINATE;CTM;USA;AME
LKH;TEAM LOTTO - KERN HAUS;CTM;GER;EUR
TNV;TEAM NOVAK;CTM;ROU;EUR
TSC;TEAM SAPURA CYCLING;CTM;MAS;ASI
SVL;TEAM SAUERLAND NRW P / B SKS GERMANY;CTM;GER;EUR
TSL;TEAM SKYLINE;CTM;USA;AME
UKO;TEAM UKYO;CTM;JPN;ASI
VBG;TEAM VORARLBERG SANTIC;CTM;AUT;EUR
WAO;TEAM WAOO;CTM;DEN;EUR
WGN;TEAM WIGGINS LECOL;CTM;GBR;EUR
TEG;TEG PROCYCLING TEAM;CTM;RSA;AFR
TFL;TELENET FIDEA LIONS;CTM;BEL;EUR
TSG;TERENGGANU INC. TSG CYCLING TEAM;CTM;MAS;ASI
TCC;THAILAND CONTINENTAL CYCLING TEAM;CTM;THA;ASI
TYD;TIANYOUDE HOTEL CYCLING TEAM ;CTM;CHN;ASI
TIR;TIROL KTM CYCLING TEAM;CTM;AUT;EUR
SKC;TUFO – PARDUS PROSTEJOV;CTM;CZE;EUR
UIO;UD OLIVEIRENSE / INOUTBUILD;CTM;POR;EUR
UCT;UIJEONGBU CYCLING TEAM;CTM;KOR;ASI
UXT;UNO - X NORWEGIAN DEVELOPMENT TEAM;CTM;NOR;EUR
BLZ;UTSUNOMIYA BLITZEN;CTM;JPN;ASI
VIB;VIB SPORTS;CTM;BRN;ASI
VAM;VINO - ASTANA MOTORS;CTM;KAZ;ASI
CDF;VITO - FEIRENSE - PNB;CTM;POR;EUR
VIT;VITUS PRO CYCLING  P / B BROTHER UK;CTM;GBR;EUR
VLA;VLASMAN CT;CTM;NED;EUR
VOS;VOSTER ATS TEAM;CTM;POL;EUR
WBD;WALLONIE - BRUXELLES DEVELOPMENT TEAM ;CTM;BEL;EUR
WIB;WIBATECH MERX;CTM;POL;EUR
WGC;WILDLIFE GENERATION PRO CYCLING P / B MAXXIS;CTM;USA;AME
XSU;XSPEED UNITED CONTINENTAL;CTM;HKG;ASI
